S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
0,TCS,IT Services & Consulting,3.8,73800,56,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1,Accenture,IT Services & Consulting,4,46800,35,"Company Culture, Skill Development / Learning, Job Security",None
2,Cognizant,IT Services & Consulting,3.9,42200,30,Skill Development / Learning,Promotions / Appraisal
3,Wipro,IT Services & Consulting,3.8,39600,79,Job Security,"Promotions / Appraisal, Salary & Benefits"
4,Capgemini,IT Services & Consulting,3.9,34300,57,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
5,HDFC Bank,Banking,4,34300,30,"Job Security, Skill Development / Learning",Promotions / Appraisal
6,ICICI Bank,Banking,4,33800,30,"Job Security, Skill Development / Learning, Company Culture",None
7,Infosys,IT Services & Consulting,3.8,32100,43,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
8,HCLTech,IT Services & Consulting,3.7,28900,33,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,IT Services & Consulting,3.7,27900,38,"Promotions / Appraisal, Salary & Benefits",None
10,Genpact,IT Services & Consulting,3.9,26500,27,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
11,Axis Bank,Banking,3.9,22200,31,Job Security,None
12,Teleperformance,BPO,3.6,22200,46,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
13,Concentrix Corporation,BPO,3.9,22000,41,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
14,Jio,Telecom,4,20800,17,"Job Security, Skill Development / Learning",Promotions / Appraisal
15,Amazon,Internet,4.1,20700,30,"Company Culture, Salary & Benefits, Work Life Balance",None
16,IBM,IT Services & Consulting,4.1,19900,113,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
17,Reliance Retail,Retail,4,19000,18,"Skill Development / Learning, Job Security",Promotions / Appraisal
18,HDB Financial Services,NBFC,4,18300,17,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
19,Larsen & Toubro Limited,Engineering & Construction,4.1,16800,86,"Job Security, Skill Development / Learning",None
20,Vodafone Idea,Telecom,4.2,15500,6,"Company Culture, Work Life Balance, Salary & Benefits",None
21,BYJU'S,EdTech,3.1,14700,13,"Job Security, Work Life Balance, Company Culture",None
22,Kotak Mahindra Bank,Banking,3.8,14400,21,Job Security,Promotions / Appraisal
23,Deloitte,Management Consulting,3.9,14000,179,"Job Security, Skill Development / Learning, Salary & Benefits",None
24,Reliance Industries,Oil & Gas,4.1,13800,47,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
25,iEnergizer,BPO,4.6,13600,24,"Company Culture, Skill Development / Learning, Job Security",None
26,Bharti Airtel,Telecom,4.1,12400,29,"Skill Development / Learning, Job Security, Company Culture",None
27,Tata Motors,Automobile,4.2,10600,79,"Job Security, Skill Development / Learning, Company Culture",None
28,WNS,BPO,3.5,9800,28,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
29,Flipkart,Internet,4.1,9400,17,"Skill Development / Learning, Company Culture, Job Security",None
30,IndusInd Bank,Banking,3.7,9300,30,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
31,Ernst & Young,Management Consulting,3.6,9000,22,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
32,AU Small Finance Bank,Banking,4.5,8800,28,"Skill Development / Learning, Job Security, Company Culture",None
33,Mahindra & Mahindra,Automobile,4.2,8800,79,"Job Security, Skill Development / Learning, Company Culture",None
34,Infosys BPM,BPO,3.8,8400,22,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
35,DXC Technology,IT Services & Consulting,3.8,8400,7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
36,IDFC FIRST Bank,Banking,4,8300,6,"Salary & Benefits, Skill Development / Learning, Job Security",None
37,Conneqt Business Solutions,BPO,3.7,7900,22,"Promotions / Appraisal, Salary & Benefits",None
38,LTIMindtree,IT Services & Consulting,3.7,7800,25,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
39,HDFC Life,Insurance,4.1,7800,24,"Skill Development / Learning, Job Security, Company Culture",None
40,Bajaj Finserv,Financial Services,4.1,7600,17,"Salary & Benefits, Skill Development / Learning, Job Security",None
41,Mphasis,IT Services & Consulting,3.5,7100,26,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
42,PwC,Management Consulting,3.6,7100,144,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
43,HSBC Group,Banking,4.1,6800,159,"Job Security, Work Life Balance, Company Culture",None
44,Startek,BPO,3.3,6800,7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
45,Hinduja Global Solutions,IT Services & Consulting,4,6800,24,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
46,Samsung,Consumer Electronics & Appliances,4.1,6700,55,"Salary & Benefits, Skill Development / Learning, Job Security",None
47,Ericsson,Telecom,4.3,6600,148,"Company Culture, Work Life Balance, Job Security",None
48,Maruti Suzuki,Automobile,4.3,6600,43,"Job Security, Salary & Benefits, Skill Development / Learning",None
49,Shriram Finance,NBFC,4.1,6500,45,"Job Security, Skill Development / Learning, Work Life Balance",None
50,Yes Bank,Banking,3.9,6400,20,"Salary & Benefits, Work Life Balance",None
51,Asian Paints,Chemicals,4.1,6400,82,"Salary & Benefits, Skill Development / Learning, Job Security",None
52,Cipla,Pharma,4.1,6200,89,"Skill Development / Learning, Salary & Benefits, Work Life Balance",None
53,Sutherland Global Services,IT Services & Consulting,3.7,6000,38,"Promotions / Appraisal, Salary & Benefits",None
54,Dr. Reddy's,Pharma,4.2,6000,40,"Skill Development / Learning, Company Culture, Work Life Balance",None
55,Paytm,FinTech,3.5,6000,14,"Job Security, Promotions / Appraisal, Company Culture",None
56,Bandhan Bank,Banking,3.8,6000,23,Job Security,"Promotions / Appraisal, Work Satisfaction"
57,UltraTech Cement,Building Material,4.2,6000,41,"Job Security, Skill Development / Learning, Company Culture",None
58,EXL Service,Analytics & KPO,3.8,5900,25,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
59,NTT DATA,IT Services & Consulting,4,5900,36,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
60,ICICI Prudential Life Insurance,Insurance,4.1,5700,24,"Job Security, Skill Development / Learning, Salary & Benefits",None
61,Bajaj Finance,NBFC,4.1,5700,37,"Salary & Benefits, Skill Development / Learning, Job Security",None
62,Jana Small Finance Bank,Banking,3.9,5600,18,None,None
63,Lupin,Pharma,4.1,5500,56,"Skill Development / Learning, Company Culture, Work Life Balance",None
64,Indian Army,Defence & Aerospace,4.7,5500,129,"Job Security, Company Culture, Work Satisfaction",None
65,HCL Group,IT Services & Consulting,3.7,5400,48,Job Security,"Promotions / Appraisal, Salary & Benefits"
66,Quess,BPO,4,5300,17,Work Life Balance,Promotions / Appraisal
67,Tata Steel,Iron & Steel,4.2,5300,117,"Job Security, Skill Development / Learning, Work Life Balance",None
68,L&T Infotech,IT Services & Consulting,3.8,5300,28,Job Security,"Promotions / Appraisal, Salary & Benefits"
69,Wells Fargo,Financial Services,4.1,5300,172,"Job Security, Work Life Balance, Company Culture",None
70,Zydus Lifesciences,Pharma,4.1,5200,72,"Job Security, Skill Development / Learning, Salary & Benefits",None
71,Delhivery,Logistics,4,5200,13,Skill Development / Learning,Promotions / Appraisal
72,Amazon Development Centre India,Internet,4.2,5200,39.39854522,"Company Culture, Work Life Balance, Salary & Benefits",None
73,L&T Construction,Engineering & Construction,4.1,5100,80,"Job Security, Skill Development / Learning, Salary & Benefits",None
74,JPMorgan Chase & Co.,Financial Services,4.1,5100,56,"Job Security, Company Culture, Skill Development / Learning",None
75,Sun Pharmaceutical Industries,Pharma,4.2,5000,41,"Job Security, Salary & Benefits, Skill Development / Learning",None
76,Hindustan Unilever,FMCG,4.3,5000,152,"Skill Development / Learning, Job Security, Company Culture",None
77,FIS,FinTech,3.9,5000,56,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
78,ITC,FMCG,4,4900,114,"Job Security, Skill Development / Learning",Promotions / Appraisal
79,Udaan,Unknown,4,4800,8,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
80,Hexaware Technologies,IT Services & Consulting,3.7,4800,34,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
81,IIFL Finance,NBFC,4,4800,29,Salary & Benefits,None
82,JSW Steel,Iron & Steel,4,4800,42,"Job Security, Skill Development / Learning",Promotions / Appraisal
83,Ujjivan Small Finance Bank,Banking,4.1,4600,7,"Company Culture, Job Security, Skill Development / Learning",None
84,Muthoot Finance,NBFC,3.6,4500,85,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",None
85,Max Life Insurance,Insurance,4.2,4500,24,"Skill Development / Learning, Company Culture, Job Security",None
86,Aurobindo Pharma,Pharma,4,4400,38,"Job Security, Salary & Benefits",None
87,Tata Projects,Engineering & Construction,4.3,4400,45,"Job Security, Company Culture, Skill Development / Learning",None
88,KPMG India,Management Consulting,3.6,4400,37,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
89,Shapoorji Pallonji Group,Engineering & Construction,4.2,4400,159,"Job Security, Skill Development / Learning, Company Culture",None
90,Oracle,Software Product,3.8,4400,47,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
91,Home Credit Finance,Financial Services,4.1,4400,12,"Company Culture, Skill Development / Learning, Work Life Balance",None
92,eClerx,IT Services & Consulting,3.5,4300,24,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
93,Apollo Hospitals,Healthcare,4.1,4300,41,"Job Security, Skill Development / Learning, Company Culture",None
94,Ashok Leyland,Automobile,4.1,4300,76,"Skill Development / Learning, Work Satisfaction, Company Culture",None
95,Siemens,Industrial Automation,4.2,4200,177,"Job Security, Company Culture, Work Life Balance",None
96,Omega Healthcare,Healthcare,3.8,4200,21,"Promotions / Appraisal, Salary & Benefits",None
97,JLL,Real Estate,4.2,4200,25,"Skill Development / Learning, Job Security, Company Culture",None
98,Megha Engineering & Infrastructures,Engineering & Construction,4,4200,35,"Job Security, Skill Development / Learning",Promotions / Appraisal
99,Vivo,Consumer Electronics & Appliances,4.1,4200,15,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
100,First Source,BPO,3.8,4100,23,"Promotions / Appraisal, Salary & Benefits",None
101,JustDial,Internet,3.6,4100,28,"Promotions / Appraisal, Work Satisfaction, Job Security",None
102,Bajaj Allianz Life Insurance,Insurance,4.1,4000,23,"Salary & Benefits, Work Life Balance, Company Culture",None
103,Hero MotoCorp,Automobile,4.2,4000,40,"Work Life Balance, Company Culture, Job Security",None
104,OPPO,Consumer Electronics & Appliances,4,4000,20,Skill Development / Learning,Promotions / Appraisal
105,Mahindra Finance,NBFC,4.3,4000,33,"Job Security, Company Culture, Work Life Balance",None
106,Standard Chartered,Banking,3.9,3900,171,Job Security,Promotions / Appraisal
107,DMart,Retail,4,3900,22,"Job Security, Company Culture",Promotions / Appraisal
108,Coforge,IT Services & Consulting,3.5,3900,20,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",None
109,Cyient,IT Services & Consulting,3.8,3900,33,Job Security,"Promotions / Appraisal, Salary & Benefits"
110,BigBasket,Internet,4,3900,13,"Job Security, Skill Development / Learning",Promotions / Appraisal
111,ICICI Lombard General Insurance Company,Insurance,3.8,3900,23,Job Security,Promotions / Appraisal
112,Indiamart Intermesh,Internet,3.6,3900,28,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",None
113,CGI Group,IT Services & Consulting,4.1,3800,48,"Job Security, Work Life Balance, Company Culture",None
114,Virtusa Consulting Services,IT Services & Consulting,3.8,3800,28,Promotions / Appraisal,None
115,Equitas Small Finance Bank,Banking,4.4,3700,17,"Job Security, Company Culture, Work Life Balance",None
116,TVS Motor,Automobile,4.1,3700,45,"Skill Development / Learning, Salary & Benefits, Company Culture",None
117,Manappuram Finance,NBFC,4,3700,75,"Skill Development / Learning, Promotions / Appraisal",None
118,GlobalLogic,IT Services & Consulting,3.7,3700,24,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
119,Ekart Logistics,Logistics,4.1,3700,15,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal
120,UST,IT Services & Consulting,3.9,3600,23,"Work Life Balance, Company Culture",Promotions / Appraisal
121,SBI Cards & Payment Services,Financial Services,3.8,3600,26,"Promotions / Appraisal, Work Satisfaction, Company Culture",None
122,Hewlett Packard Enterprise,IT Services & Consulting,4.3,3600,9,"Company Culture, Work Life Balance, Job Security",None
123,Atos Syntel,IT Services & Consulting,3.6,3600,44,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
124,Bosch Global Software Technologies,IT Services & Consulting,4.1,3600,27,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
